video_id,title,description,published_at,views,likes,comments,channel
4T3YlTSWa5s,How to stay curious as a dev in the AI hype era with Sumit Saha [Podcast #205],"Today Quincy Larson interviews Sumit Saha, a software engineer and prolific teacher on YouTube. Sumit is based in Dhaka, Bangladesh, where he runs a developer agency building projects for clients throughout Asia.

We talk about:
- How the hunger for learning is dying and people are increasingly drawn to shortcuts over taking the time to truly understand concepts
- Sumit's information diet and his tips for expanding your skills
- 5 key developer concepts explained like you're 5

Support comes from the 10,104 kind folks who donate to our charity each month. Join them and support our mission at https://donate.freecodecamp.org

Get a freeCodeCamp tshirt for $20 with free shipping anywhere in the US: https://shop.freecodecamp.org

Links from our discussion:
- Sumit's many freeCodeCamp handbooks and tutorials: https://www.freecodecamp.org/news/author/sumitsaha/
- Sumit's website: https://www.sumitsaha.me/
- Sumit's Bangla-language YouTube Channel: https://youtube.com/@LearnwithSumit
- Sumit's English YouTube Channel: https://youtube.com/@logicBaseLabs

Community news section:

1. I spent three days at the San Francisco Palace of Fine Arts recording a documentary about the world's largest collegiate hackathon. More than 3,000 student developers participated in this year's UC Berkeley Cal Hacks hackathon. Over the course of 36 hours, they built a broad array of projects, then demo'd them to judges from industry. I now present to you the finished documentary. I hope you find it both enjoyable and inspiring. (80-minute documentary): https://www.freecodecamp.org/news/inside-cal-hacks-2025-36-hours-at-the-worlds-largest-collegiate-hackathon/

2. freeCodeCamp also published a new course on building your own custom Kubernetes operators and controllers from scratch. You'll learn everything from the internal architecture of Informers and Caches to advanced concepts like Finalizers and Idempotency. If you're interested in DevOps, this is the course for you. (6 hour YouTube course): https://www.freecodecamp.org/news/build-your-own-kubernetes-operators-with-go-and-kubebuilder/

3. Learn how to select the best GPU for economically training your models and running inference workloads. This no-nonsense guide will help you understand why certain specs matter more than others. It will also help you navigate around common pitfalls when buying or renting GPUs. (35 minute read): https://www.freecodecamp.org/news/how-to-choose-the-best-gpu-for-your-ai-workloads/

4. Learn how to benchmark embedding models using your own custom data. This course will walk you through leveraging Vision Language Models for precise text extraction. You'll also learn how to use LLMs to generate synthetic evaluation data. Finally, you'll get exposure to the rigorous statistical tests that can help you find the best models for whatever hardware you have on hand. (4 hour YouTube course): https://www.freecodecamp.org/news/how-to-benchmark-embedding-models-on-your-own-data/

5. Our song of the week: Supergroup The Power Station's 1985 hit ""Some Like it Hot"". This entire album features incredible drumming by Chic drummer Tony Thompson. And with Bass and Guitars by Duran Duran's John Taylor and Andy Taylor, the whole song has insane groove. 80s icon Robert Palmer sings and brings the texture. The guy reportedly smoked 60 cigarettes a day and paid the price a few years later, but man is his voice golden on this recording. Fun fact: Duran Duran's official site says they achieved the massive drum sound by putting mics at the top of a nearby elevator shaft. https://www.youtube.com/watch?v=Hw1t7OCESUw",2026-01-23T14:30:03Z,1515,163,16,primary
3GqiUg3Ree4,From not growing up with computers to senior engineer - thanks to Prince of Persia,"Santosh didn't grow up with a computer in his home, but he was able to play Prince of Persia on computers at school. From there, he was hooked - and he discusses this with Quincy on the freeCodeCamp podcast.",2026-01-23T13:18:28Z,803,10,0,primary
I7_WXKhyGms,RAG & MCP Fundamentals – A Hands-On Crash Course,"This practical crash course teaches you to build integrated AI systems rather than standalone tools. You will first master Retrieval-Augmented Generation (RAG) to connect models to your own data for accurate, context-aware answers. Next, you will learn the Model Context Protocol (MCP) to coordinate communication and actions across multiple software components. By the end, you will know how to use RAG for knowledge and MCP for system-level coordination to create sophisticated, multi-part applications.

Hands-on Labs: https://kode.wiki/4nzgBbW

❤️ Support for this channel comes from our friends at Scrimba – the coding platform that's reinvented interactive learning: https://scrimba.com/freecodecamp

⭐️ Contents ⭐️
Part 1: Retrieval Augmented Generation (RAG)
- 0:00:00 Course Overview: Building Integrated AI Systems 
- 0:00:52 The Simplest Explanation of RAG 
- 0:01:50 Real-world Use Case: Internal Policy Chatbot 
- 0:02:41 Understanding Retrieval, Augmenting, and Generation 
- 0:04:12 When to use Prompt Engineering, Fine-Tuning, or RAG 
- 0:06:40 Solving Voice and Style with Fine-Tuning 
- 0:08:15 Why RAG is Best for Dynamic Factual Information 
- 0:09:36 Keyword Search Techniques: TF-IDF and BM25 
- 0:13:12 Hands-on Lab 1: Basic Search and Keyword Limitations 
- 0:16:10 Introduction to Semantic Search and Meaning 
- 0:18:01 Embedding Models: Parameter Size and Local vs. API Models 
- 0:20:04 How Embeddings Convert Text into Mathematical Vectors 
- 0:22:00 Vector Similarity and the Dot Product 
- 0:27:08 Hands-on Lab 2: Implementing Semantic Search with Embedding Models 
- 0:30:54 Scaling with Vector Databases: Chroma and Pinecone 
- 0:32:15 Indexing Algorithms: HNSW, IVF, and LSH 
- 0:35:53 Hands-on Lab 3: Initializing and Querying a Vector Database 
- 0:39:21 The Precision Problem: Why Document Chunking is Essential 
- 0:41:40 Chunking Strategies: Fixed-size, Overlap, and Boundary Rules 
- 0:44:28 Hands-on Lab 4: Document Chunking and Optimized Retrieval 
- 0:48:49 Bringing it All Together: The RAG Pipeline 
- 0:50:40 Hands-on Lab 5: Building a Complete End-to-End RAG Pipeline 
- 0:52:54 Production Concerns: Caching, Monitoring, and Error Handling 
- 0:54:00 Implementation Strategies for Query, Embedding, and LLM Caching 
- 0:56:51 Essential Metrics for Tracking RAG Performance 
- 0:57:39 Production Architecture: Microservices on Kubernetes 

Part 2: Model Context Protocol (MCP) 
- 0:59:40 Introduction to Model Context Protocol (MCP) 
- 1:00:59 The Role of AI Agents in Action-Oriented Systems 
- 1:06:15 Why We Need Standardized Tools for Third-Party Interactions 
- 1:08:00 MCP Architecture: Clients, Servers, and Local vs. Remote Hosting 
- 1:10:12 Hands-on Lab 6: Setting up the AI Assistant Environment 
- 1:12:40 Core MCP Components: Resources, Tools, and Prompts 
- 1:14:13 Understanding the MCP Specification and JSON-RPC Protocol 
- 1:22:55 Hands-on Lab 7: Connecting to and Using an Existing MCP Server 
- 1:26:22 Building a Custom MCP Server with the Python SDK 
- 1:29:12 Testing with the MCP Inspector 
- 1:29:45 Hands-on Lab 8: Developing Resources, Tools, and Prompts for MCP 
- 1:35:29 Building an MCP Client: Roots, Sampling, and Elicitation 

🎉 Thanks to our Champion and Sponsor supporters:
👾 @omerhattapoglu1158
👾 @goddardtan
👾 @akihayashi6629
👾 @kikilogsin
👾 @anthonycampbell2148
👾 @tobymiller7790
👾 @rajibdassharma497
👾 @CloudVirtualizationEnthusiast
👾 @adilsoncarlosvianacarlos
👾 @martinmacchia1564
👾 @ulisesmoralez4160
👾 @_Oscar_
👾 @jedi-or-sith2728
👾 @justinhual1290

--

Learn to code for free and get a developer job: https://www.freecodecamp.org

Read hundreds of articles on programming: https://freecodecamp.org/news",2026-01-22T14:27:46Z,18255,991,24,primary
ojkbIKjRLIM,The challenges of turning a powerful braille learning prototype into real hardware,"Turning a powerful braille learning prototype into real hardware comes with challenges. On the freeCodeCamp podcast, Alison talks about redesigning for multiple characters, discussing needs with the visually impaired community, and more.",2026-01-22T12:52:23Z,3606,20,0,primary
66hDgWottdA,Lean Dynamic Programming with Animations – Full Course for Beginners,"Master the art of Dynamic Programming by learning to break complex challenges into simple, reusable sub-problems. This course features step-by-step animations that bring abstract logic to life, showing you exactly how data flows through tables and recursion trees in real-time. Develop a powerful visual intuition for optimization so you can solve even the toughest algorithmic puzzles with ease. Sheldon created this course.

❤️ Support for this channel comes from our friends at Scrimba – the coding platform that's reinvented interactive learning: https://scrimba.com/freecodecamp

⭐️ Contents ⭐️
— 0:00:00 Course Introduction and Visual Intuition  
— 0:00:33 Fundamentals of Dynamic Programming  
— 0:01:14 The Staircase Problem: Counting Paths  
— 0:04:13 Implementing Recursive Solutions  
— 0:06:26 The Inefficiency of Simple Recursion  
— 0:07:32 Pattern 1: Memoization (Top-Down Approach)  
— 0:11:39 Pattern 2: Tabulation (Bottom-Up Approach)  
— 0:14:09 Comparing Memoization vs. Tabulation  
— 0:16:34 Practice Problem: N-th Tribonacci Number  
— 0:20:33 Optimization: Min Cost Climbing Stairs  
— 0:28:56 Constant Transition Pattern and Space Optimization  
— 0:30:46 Practice Problem: House Robber  
— 0:34:08 Pattern 3: Grid Problems (2D DP)  
— 0:34:41 Practice Problem: Unique Paths  
— 0:39:54 Optimizing Space in Grid Problems  
— 0:42:37 Practice Problem: Unique Paths II (With Obstacles)  
— 0:45:19 Pattern 4: Two Sequences  
— 0:45:47 Practice Problem: Longest Common Subsequence  
— 0:57:48 Practice Problem: Edit Distance  
— 1:01:34 Pattern 5: Interval DP  
— 1:01:46 Practice Problem: Longest Palindromic Subsequence  
— 1:11:57 Practice Problem: Palindromic Substrings  
— 1:14:47 Pattern 6: Non-Constant Transition  
— 1:15:05 Practice Problem: Longest Increasing Subsequence  
— 1:23:11 Practice Problem: Partition Array for Maximum Sum  
— 1:27:00 Pattern 7: Knapsack-like Problems  
— 1:27:14 Practice Problem: Partition Equal Subset Sum  
— 1:38:04 Practice Problem: Coin Change  
— 1:41:27 Final Summary and Resources 

🎉 Thanks to our Champion and Sponsor supporters:
👾 @omerhattapoglu1158
👾 @goddardtan
👾 @akihayashi6629
👾 @kikilogsin
👾 @anthonycampbell2148
👾 @tobymiller7790
👾 @rajibdassharma497
👾 @CloudVirtualizationEnthusiast
👾 @adilsoncarlosvianacarlos
👾 @martinmacchia1564
👾 @ulisesmoralez4160
👾 @_Oscar_
👾 @jedi-or-sith2728
👾 @justinhual1290

--

Learn to code for free and get a developer job: https://www.freecodecamp.org

Read hundreds of articles on programming: https://freecodecamp.org/news",2026-01-21T15:31:14Z,43483,2666,98,primary
2Kw3e-1vbBQ,Build your own The Backrooms horror game with Unreal Engine 5 & Blueprints – Full GameDev Tutorial,"Learn how to build a complete The Backrooms-style horror game in Unreal Engine 5 using Blueprints only. This step-by-step tutorial guides you from a blank project to a fully playable game including enemy AI, body cam camera style, jump scares, UI, puzzles and a complete environment!

You will learn about blueprint interface, level optimization, and also building a package of your game for Windows.

Course from @DevEdgeStudio 

Resources: 
All required asserts (Free): https://www.patreon.com/posts/free-resource-147272459?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=postshare_creator&utm_content=join_link
Complete Project: https://www.patreon.com/posts/back-room-game-147263536?utm_medium=clipboard_copy&utm_source=copyLink&utm_campaign=postshare_creator&utm_content=join_link

❤️ Support for this channel comes from our friends at Scrimba – the coding platform that's reinvented interactive learning: https://scrimba.com/freecodecamp

⭐️ Contents ⭐️
– 0:00:00 Intro
– 0:01:08 Overview
– 0:01:58 Camera Setup
– 0:22:30 Locomotion (Hand & Foot Steps, Crouching)
– 0:54:21 Environment & Level Design
– 1:14:44 Interactable Environment
– 1:39:43 Puzzles & Doors (Blueprints)
– 2:05:16 NPC Jumpscare
– 2:10:15 Enemy AI
– 2:39:01 UI & Main Menu (Cutscene)
– 3:10:15 Optimization & Fixes
– 3:15:33 Game Packaging
– 3:19:15 Final Output (.exe Game File)
– 3:20:12 Outro

🎉 Thanks to our Champion and Sponsor supporters:
👾 @omerhattapoglu1158
👾 @goddardtan
👾 @akihayashi6629
👾 @kikilogsin
👾 @anthonycampbell2148
👾 @tobymiller7790
👾 @rajibdassharma497
👾 @CloudVirtualizationEnthusiast
👾 @adilsoncarlosvianacarlos
👾 @martinmacchia1564
👾 @ulisesmoralez4160
👾 @_Oscar_
👾 @jedi-or-sith2728
👾 @justinhual1290

--

Learn to code for free and get a developer job: https://www.freecodecamp.org

Read hundreds of articles on programming: https://freecodecamp.org/news",2026-01-20T17:39:36Z,13862,598,31,primary
3PD-vQbpwA8,Inside The World's Biggest Hackathon – Full Documentary on UC Berkeley's Cal Hacks,"This documentary will introduce you to the high-energy environment of Cal Hacks 2025, the world's largest collegiate hackathon, where over 2,500 students gather at the former Exploratorium in San Francisco to build innovative projects in just 36 hours. 

Quincy Larson interviews various teams to showcase diverse creations ranging from AI-powered dance coaches and K-pop training apps to automated ""burger bots"" and deodorant-spraying robots. 

Throughout the event, participants navigate technical challenges like limited Wi-Fi while demonstrating the intense work ethic, ingenuity, and community spirit that define modern developer culture.

Cal Hacks 12.0 took place on October 24–26, 2025, at the Palace of Fine Arts in San Francisco, CA.

Learn more about Cal Hacks: https://www.calhacks.io/

Director: Beau Carnes
Sound and Camera: Sunday Ajak
Camera: Nathaniel Tham
Music: Quincy Larson

Chapters
- 00:00 Introduction to Cal Hacks at the Exploratorium 
- 00:42 The Scope: 2,500 Participants & 36 Hours 
- 01:30 Exploring the Venue: Mezzanine to the Main Floor 
- 01:57 Interview: Team San Jose State University (Rapid Learning & Pressure) 
- 04:36 Interview: Anti-Deepfake Mobile App - Baran (Sacramento) 
- 05:16 Interview: AI Dungeon Master for D&D - Julian & Colin (Colgate University) 
- 07:27 Interview: Hackathon Project Management App - Kai, Ricardo, Kas 
- 08:24 Interview: Kahoot Clone - Ji, Gilbert, Marian, Jason 
- 09:31 Sepehr the Shark and Scenes 
- 10:58 Interview: AI Dance Coach - Kai (UVA) & Ethan (Cal State Fullerton) 
- 12:56 The Air Mattress Monoliths: Preparing to Sleep Under Tables 
- 13:28 Interview: ASL Translator & Education Tools - Tri & Team 
- 14:52 Interview: Spaced Repetition Information Retention - Nina, Krishna, Viha 
- 16:12 Interview: Mentoring the Next Generation of Builders - Chinat Yu (Mentor Mates) 
- 18:33 Interview: Advice for Competitive vs. Casual Hackers - Andrew (Volunteer) 
- 22:33 Interview: Reducing Latency in LLM Development - Alex, Nathan, Abek, Prada 
- 24:18 End of Day One: The 36-Hour Countdown 
- 24:47 Day Two: Chasing Wi-Fi Waves & Hotspot Contraband 
- 26:23 Interview: Trust Score Project (Credit Solutions for Immigrants) - 
- 27:39 The ""Sleep Scale"": From 48 Hours Awake to Naps on Chairs 
- 29:38 Interview: Finding Authentic Friction Points - Sophia (Big Tech PM) 
- 30:53 Sophia’s Story: Turning Guitar Tabs into Sheet Music 
- 33:01 Interview: VR Chat with AI Agents 
- 33:25 Interview: Janitor Turned Dev - Shane 
- 34:12 Interview: Creating a Safe Space for Innovation - Vincent (Sponsor) 
- 35:30 Demo: Spaced Repetition UI/UX Reveal - Nina, Krishna, Viha 
- 37:36 Demo: Elastic Brew (Telemetry-Powered Espresso Machine) - 
- 39:31 Interview: Health Data App - Alex 
- 40:32 Interview: Tactile Senses for the Visually Impaired - Cedric, Shao, David, Jin 
- 41:39 Interview: High-Pressure Environments - Isasaki 
- 43:06 Final 11 Hours: Ingenuity on Display 
- 44:19 Interview: Managing 2,700 Developers - Dylan (Organizer) 
- 46:26 Interview: The 9-Month Planning Sprint - Sam (Organizer) 
- 51:14 Day Three: Code Lock & Proof of Concept 
- 51:26 Demo: Automated Food Assembly - Princess, Zaira, Bhavya, Gabriele 
- 53:00 Demo: Meight - Artem & Satya 
- 54:30 Demo: Deodorant Robot - E, Mohammad, Nick, Eric 
- 55:48 Demo: Voice Agent for ADHD Task Management - Maya, Candy, Hamad, Seif 
- 57:41 Demo: Figure Flow - Payne, Michael, Joey 
- 1:00:00 Demo: Recall Me - Abbey, Neha, Rudrika, Manchika 
- 1:02:25 Demo: AI Government Tools - Angad, Sanjay, Rohan, Preet, Likhit 
- 1:04:19 Demo: Desktop Automation - Hem, Pritish, Krishiv 
- 1:05:12 Demo: Stock Explained - Saline, Anish, Kim 
- 1:06:49 Demo: Persisting Context Across LLMs - Brenden, Katie, Jeana 
- 1:09:55 Demo: VR Driver’s Ed with AI Feedback - Lukas, Shashwat, Brian 
- 1:11:48 Demo: Group ""Vibe"" Restaurant Selection - Colin, Rick, Derek, Marvin 
- 1:14:41 Demo: Platypus Academy - Kate & Andrew 
- 1:16:43 Demo: K-pop Demon Hunters Academy - Skyler, Caleb, Kenneth, Sreerag 
- 1:19:04 Closing Thoughts: Why You Should Attend a Hackathon",2026-01-14T17:28:53Z,133809,4125,181,primary
nGxpctRd2OQ,Senior Developers are Vibe Coding Now (With SCARY results),"With everything starting to use AI, there are some serious concerns about the results.

Check out Code Rabbit:  https://coderabbit.link/traversymedia

Find all Traversy Media courses at https://www.traversymedia.com/

Timestamps:

00:00 - Intro
00:46 - 32% of devs ship AI code
1:52 - 45% of code is insecure
2:30 - CodeRabbit report
5:05 - Why issues are happening
6:57 - Code reviews
8:41 - AI code review tools
10:45 - Using code rabbit",2026-01-16T16:40:36Z,21441,727,128,competitor_1
8TMQcRcBnW8,FastAPI Crash Course - Modern Python API Development,"Learn the fundamentals of creating APIs with Python using the FastAPI framework.

Check out our sponsor Code Rabbit:
https://coderabbit.link/traversymedia

Final Code & Docs:
https://github.com/bradtraversy/fastapi-issue-tracker

Devsheets.io FastAPI Cheat Sheet:
https://www.devsheets.io/sheets/fastapi

Timestamps:
0:00 - Introduction
1:06 - Sponsor (Code Rabbit)
2:45 - What Is FastAPI? (Slides)
8:25 - High Level Overview
10:11 - Virtual Environment Setup
11:43 - FastAPI Install & Basic Setup
13:32 - Your First Route
15:09 - Swagger Interactive Docs
16:07 - Basic Item Route Examples
19:00 - POST Requests
20:50 - API Router Setup
24:00 - JSON Storage Module
28:39 - Pydantic Schemas
36:10 - Issue GET Route
37:50 - Issue POST Route
43:26 - Issue PUT Route
45:17 - Issue DELETE Route
47:00 - Middleware (Timing Example)
52:50 - CORS
54:37 - Deploying to Render",2026-01-13T18:22:59Z,21098,1388,147,competitor_1
G-3NpqWOAa8,Escaping tutorial hell,,2025-11-21T18:44:21Z,32737,1724,65,competitor_1
